Neighborhood,Street,City,State,ZIP,Bedrooms,Bathrooms,sq_footage,Lot,housing_style,Brokerage,Description,property_type,Year,price_per_sqft,tax_valuation,Taxes,Land,Additions,,
West Berkeley,1544 Acton St,Berkeley,CA,94702,3 bd,1+ ba,"1,276 sq ft","4,042",Single Family Home,Day And Night Realty,"Amazing location, near BART, top rated schools and local culinary scene. Vintage charm intact with all major systems upgraded. Remodeled with permits. New chefs kitchen, designer bathrooms and expansive deck. Random plank hardwood floors. Fireplace and landscaped backyard. Must see to appreciate.",Bungalow,Year built: 1942,Price/Sq Ft: $673,"$267,868","$5,149","$91,375","$176,493",,
South Berkeley,3110 California St,Berkeley,CA,94703,4 bd,4 ba,"2,312 sq ft","3,325",Multi-Family Home,Pacific Union International,"Charming/classic 19th century 4 plex in great South Berkeley location near Ashby BART. Sewer complaint, updated electrical, newer interior and exterior pain, newer kitchens in vacant units. Some dual pane windows. Sweet backyard.",Style: Fourplex ,Year built: 1896,Price/Sq Ft: $324,"$159,459","$4,068","$129,981","$29,478",,
West Berkeley,43 Arlington Ave,Kensington,CA,94707,3 bd,2 ba,"2,276 sq ft","7,150",Single Family Home,The Grubb Co. Inc.,"



 Key Facts
 Style: Contemporary
 Single family home
 Year built: 1949
 Price/Sq Ft: $482
 2 days on realtor.com ®
 Status: Active
 Request Renovation Report


 Schools
 10Kensington Elementary School
 7El Cerrito Senior High School ",Contemporary,Year built: 1949,Price/Sq Ft: $482,"$723,000","$10,922","$561,400","$161,600",,
West Berkeley,1428 Ward St,Berkeley,CA,94702,2 bd,2 ba,976 sq ft,"3,054",Single Family Home,Harbor Bay Realty,"Location, Location, Location, this diamond in the rough / contractor's special has great potential. Located near the Ashby Bart Station, Berkeley Bowl, San Pablo Park, Whole Foods and Berkeley HS. Great for an investment property or a Single family residence this home is a must see to appreciate!!!!",Spanish,Year built: 1927,Price/Sq Ft: $640,"$591,254","$8,444","$177,376","$413,878",,
Berkeley Hills,2440 Edwards St,Berkeley,CA,94702,2 bd,1 ba,"1,141 sq ft","2,928",Single Family Home,Better Homes Realty/Mcarthr,"Fixer with lots of potential;in need of TLC. Lg open living rm, w fireplace, formal dining, breakfast nook, natural light. Lg. kitchen w/gas stove. In Law unit in rear with recessed lighting,gas, water line. Bring those great ideas to this home. O/H Sun 2:00- 4:00PM",Single family home,Price/Sq Ft: $613,6 days on realtor.com ® ,"$539,287","$8,371","$161,786","$377,501",,
Northbrae,40 San Mateo Rd,Berkeley,CA,94707,3 bd,1+ ba,"2,055 sq ft","5,750",Single Family Home,Pacific Union International,Charming traditional located in one of Berkeley's most sought after nbrhds just blocks fr Solano Ave. Stunning Bay & GG Bridge views. Great indoor/outdoor living. Decks & gardens. Own a piece of the rock! Spacious living/dining rms perfect for entertaining family/friends! Open Sat 2-4 & Sun 2-4:30.,Traditional,Year built: 1934,Price/Sq Ft: $620,"$1,169,391","$16,574","$350,817","$818,574",,
North Hills,930 The Alameda,Berkeley,CA,94707,3 bd,1+ ba,"1,542 sq ft","6,000",Single Family Home,The Grubb Co. Inc.,"The combination of dream location, light and one-level living define this three-plus bedroom, one-and-one-half bath Traditional in the heart of North Berkeley - around the corner from Solano Avenue coffee, shops, restaurants and transportation. Amenities include: •Gracious living room with fireplace, leaded-glass windows and gleaming hardwood floors •Sunny formal dining room with glowing hardwood floors •Light and airy eat-in kitchen opens out onto spacious deck and private gardens •Three generous bedrooms, one with a half-bath and French doors to deck and gardens •Lower-level multi-purpose “plus” space •Back patio and gardens perfect for entertaining, garage and off-street parking, ample storage - and more! Dream location & one level living define this 3+BR/1.5BA traditional w/expansive LR, FDR, & EIK, and lovely back patio and gardens-just around the corner from Solano shopping, restaurants and transportation.",Traditional,Year built: 1922,Price/Sq Ft: $583,"$74,092","$3,434","$46,562","$27,530",,
West Berkeley,2946 Piedmont Ave,Berkeley,CA,94705,3 bd,3+ ba,"2,520 sq ft","2,585",Single Family Home,The Grubb Co. Inc.,"Gorgeous traditional in coveted upper Elmwood location! Close to shops and restaurants, as well as BART! 3+BR/3 1/2 BA. Eat in-kitchen opens to deck! Garage and off street parking. Ideal location & neighborhood.",Traditional,Year built: 1922,Price/Sq Ft: $560,"$464,427","$8,028","$365,098","$99,329",,
South Berkeley,1645 7th St,Berkeley,CA,94710,4 bd,1+ ba,"1,360 sq ft","4,300",Single Family Home,Legacy Real Estate & Assoc.,"Cozy home in North Berkeley, modern kitchen with top of the line Stainless steel appliances, hardwood floor.GYM room in the back yard. Garden like front yard.close to BART, freeway and Univercity. Center location. open house 2/20, 21, 1-4pm.",Cottage,Year built: 1954,Price/Sq Ft: $551,"$173,094","$4,203","$51,928","$121,166",,
North Berkeley,3010 Shattuck Ave,Berkeley,CA,94705,3 bd,2 ba,"1,714 sq ft","2,600",Single Family Home,Hc&M Commercial Properties,"See this sunlit welcoming 1905 Edwardian. Formal living rm w/ nat light opens to family/dining rm & updated kitchen. Main floor incl sm bdrm, bath & laundry. 2nd story great room high ceilings & beaut. arch. details adjoin the generous mstr bdrm, office/3rd bdrm & bath. 2 decks, backyard and pkg.",Traditional,Year built: 1905,Price/Sq Ft: $452,"$409,843","$6,609","$122,953","$286,890",,
Berkeley Hills,524 Cragmont Ave,Berkeley,CA,94708,3 bd,4+ ba,"3,456 sq ft","6,750",Single Family Home,Ipa Realty,Plans approved by the city for a beautiful 3bd/4.5bath tri level home w/office and 3car garage .Spacious layout with amazing views of the bay! Master Bedroom has private deck. Large patio with wading pool on lower level and Deck off the kitchen/living room on main floor. After repair value $2.8Mil.,Style: Custom ,Year built: 2016,Price/Sq Ft: $405,"$384,228","$6,496","$115,268","$268,960",,
Berkeley Hills,720 Grizzly Peak Blvd,Berkeley,CA,94708,3 bd,2 ba,"2,044 sq ft","5,300",Single Family Home,Berkeley Hills Realty,"Gorgeous custom view home in the hills. Formal dining room, eat-in kitchen, hardwood floors, fireplace. Two bedrooms on main floor. One bedroom & one bath on lower level open to garden. Entrances on Grizzly Pk & on Keeler. Drought tolerant low maintenance gardens front & back. Big garage.",Traditional,Year built: 1936,Price/Sq Ft: $389,"$116,219","$3,770","$60,234","$55,985",,
West Berkeley,Berkeley,Berkeley,CA,94706,2 bd,2 ba,"2,216 sq ft","6,801",Multi-Family Home,Coldwell Banker,Great Duplex in two bedrooms and two baths located in great area close to shopping Dining. large Two bedroom and smaller 2 Bedroom duplex on great lot and great location. Must See,Style: Duplex ,Year built: 1954,Price/Sq Ft: $451,"$100,370","$4,307","$56,101","$44,269",,
West Berkeley,Berkeley,Berkeley,CA,94702,1 bd,1 ba,780 sq ft,780,Condo/Townhome/Row Home/Co-Op,Century 21 Realty Alliance,"COZY LIVE/WORK CONDO NEAR CAL & BERKELEY BOWL on GROUND LEVEL. Charming Split level condo, a gas fireplace on custom-built platform & curved back panel. 2 entrances, dedicated parking, corner location entrance on Derby St. Residential or Commercial, a small shop. Near shops, ASHBY, BAY BRIDGE, SF.",Contemporary,Year built: 1929,Price/Sq Ft: $538,"$275,817","$4,385","$100,297","$175,520",,
Thousand Oaks,Berkeley,Berkeley,CA,94707,4 bd,2 ba,"2,500 sq ft","2,500",Single Family Home,Hinds Realty Group,"Handsome Traditional hm W Golden Gate/Bay Views. Desirable Thousand Oaks, walk to Solano & Transbay, hrdwd floors throughout new kitchen cabinets, Quartz counters, tile floors, original windows, Towering Entry columns, custom ext/int paint job, finished basement, room for your own finishing touches",Style: Custom ,Year built: 1946,Price/Sq Ft: $480,"$107,102","$4,563","$54,061","$53,041",,
West Berkeley,Berkeley,Berkeley,CA,94702,2 bd,1 ba,880 sq ft,880,Single Family Home,Real Estate Ebroker Inc,"Cute bungalow w/high end designer finishes & character throughout, large yard w/lawn & garden, bamboo floors, slate, tile, quartz, s/s appliances. Less than 5 min drive to bay bridge toll plaza, 10 min walk to Ashby Bart, one block away from Berkeley bowl. Nearby Park, restaurants and shopping ctrs.",Bungalow,Year built: 1945,Price/Sq Ft: $738,"$323,980","$5,037","$97,194","$226,786",,
West Berkeley,Berkeley,Berkeley,CA,94710,2 bd,1 ba,899 sq ft,899,Single Family Home,Red Oak Realty,"This “Cinderella project” could be yours! Home has old-world charm with original details. Centrally located for access to shops, restaurants, schools and parks. Spacious and light-filled, the home has high ceilings, and formal living and dining rooms. Huge yard for your imagination and development!",Single family home,Price/Sq Ft: $610,10 days on realtor.com ® ,"$35,700","$1,703","$23,664","$12,036",,
South Berkeley,Berkeley,Berkeley,CA,94703,"3,823 sq ft","4,500 sq ft lot","4,500 sq ft lot","4,500",Multi-Family Home,Marvin Gardens East Bay,"Great investor opportunity! Huge two-story home with ample space throughout with additional rental units at rear of lot. Diamond in the rough. Strictly as-is"" sale. Buyer responsible for all point of sale ordinances and any existing code violations.""",Style: Triplex ,Year built: 1924,Price/Sq Ft: $190,"$964,313","$24,464","$289,294","$675,019",,
West Berkeley,Berkeley,Berkeley,CA,94702,2 bd,1+ ba,1+ ba,1+,Single Family Home,Marvin Gardens Real Estate Iii,"Charming split-level in fantastic central location! Sunny & bright two bedroom home with bonus room. Spacious living room and beautiful hardwood floors throughout. Insulated, soundproof windows in living & dining rooms. Private, fenced backyard. Close to BART, Monterey shops, Acme & Gourmet Ghetto!",Cottage,Year built: 1943,Price/Sq Ft: $635,"$586,300","$8,388","$175,890","$410,410",,
West Berkeley,Berkeley,Berkeley,CA,94710,3 bd,2+ ba,2+ ba,2+,Condo/Townhome/Row Home/Co-Op,Lawton Associates,"OPEN HOUSE 2-4:30pm SUN FEB 21st * High-End European Design & Build Quality * Newer 2006 Berkeley Townhouse * Private Garden Patio * Small 3 Unit Complex * Open Floor Plan * Top Floor Master Suite * Close to Everything-4th Street shopping, Berkeley Bowl, BART, AC Transit Bus, Amtrak * Great Location",Contemporary,Year built: 2006,Price/Sq Ft: $553,"$869,497","$12,480","$260,849","$608,648",,
Berkeley Hills,Berkeley,Berkeley,CA,94708,3 bd,2 ba,2 ba,2,Single Family Home,Red Oak Realty,"A serene, graceful lifestyle awaits you in this Berkeley Hills mid-century treasure. This beautiful 3-bedroom, 2-bath home was designed by prominent California architect Roger Lee, well-known for designing high style, mid-century modern homes in the 1950s and 60s. A must see, spectacular views.",Single family home,Price/Sq Ft: $615,14 days on realtor.com ® ,"$836,388","$12,440","$250,824","$585,564",,
Berkeley Hills,Berkeley,Berkeley,CA,94708,2 bd,2 ba,2 ba,2,Single Family Home,Keller Williams Realty,BERKELEY HILLS FIXER. FIRST TIME ON MARKET SINCE 1939. COMPLETELY ORIGINAL 2 BED WITH SECOND BATH ADDED. HARDWOOD FLOORS. LAUNDRY ROOM. VIEWS. LARGE REAR YARD. LOTS OF UPSIDE.,Cottage,Year built: 1939,Price/Sq Ft: $568,"$90,781","$2,951","$58,753","$32,028",,
Berkeley Hills,Berkeley,Berkeley,CA,94708,4 bd,3+ ba,3+ ba,3+,Single Family Home,Red Oak Realty,"Light-filled Spanish/Mediterranean with stunning panoramic 4-bridge views! Generous sized rooms, formal dining room, eat-in kitchen with tile pavers, gorgeous hardwood floors, master suite w/ fireplace, solarium, sauna, wine cellar, abundant storage, bonus rooms, 2-car attached garage & much more!",Mediterranean,Year built: 1936,Price/Sq Ft: $446,"$1,705,544","$24,438","$511,663","$1,193,881",,
Thousand Oaks,Berkeley,Berkeley,CA,94707,3 bd,2+ ba,2+ ba,2+,Single Family Home,The Grubb Company,"Sunny and handsome traditional with detached Casita"" media room in a treasured Berkeley ""Sweet Spot"" close to Solano Avenue shops and famous ""Gourmet Ghetto""", UC Campus," public transit. A charmer!""",Mediterranean,Year built: 1926,Price/Sq Ft: $538,"$1,648,693","$22,562","$494,608","$1,154,085"
West Berkeley,Berkeley,Berkeley,CA,94702,2 bd,1 ba,1 ba,1,Single Family Home,The Grubb Company,"Ideally situated just blocks btwn Berkeley Bowl West & San Pablo Park. This charming home features a light-filled living room with fireplace, separate dining room & kitchen with charming breakfast nook. Located in a commercially mixed zoned area close to public transportation and BART. Easy commute.",Craftsman,Year built: 1926,Price/Sq Ft: $600,"$255,127","$4,267","$76,538","$178,589",,
South Berkeley,2912 Harper St,Berkeley,CA,94703,4 bd,4 ba,"2,800 sq ft","4,880",Multi-Family Home,Marcus & Millichap,"Owner-User Potential! Laundry onsite, walk score of 80, secluded street near everything. Three large storage units for additional income, or owner use. 1920 charm, updated kitchen and bath in owner's unit. Walk to BART, Berkeley Bowl, Grove Park, the South Berkeley Library, and much much more.",Style: Fourplex ,Year built: 1920,Price/Sq Ft: $411,"$859,842","$13,946","$257,952","$601,890",,
West Berkeley,3035 Mabel St,Berkeley,CA,94702,2 bd,1 ba,734 sq ft,"4,159",Single Family Home,"Charlene Neely, Broker",Beauty Is In The Eye Of The Beholder. House is Gutted. Needs remodeling. Bring Your Contractors to Showings.,Cottage,Year built: 1916,Price/Sq Ft: $477,"$26,109","$2,233","$19,787","$6,322",,
West Berkeley,1415 67th St,Berkeley,CA,94702,2 bd,1 ba,849 sq ft,"1,650",Single Family Home,Red Oak Realty,"Very cute single family with nicely updated open floor plan. Beautiful hardwood floors, newer systems & lots of upgrades. Close to everything that you may need. BART,Berkeley Bowl, Multiple coffee & hangout spots nearby. Easy access to parks & fantastic access to freeway. High Bike scores.",Craftsman Bungalow,Year built: 1926,Price/Sq Ft: $706,"$445,704","$6,601","$133,711","$311,993",,
Dartmouth,1075 Stannage Ave,Albany,CA,94706,1 bd,1 ba,893 sq ft,"2,475",Single Family Home,Better Homes Realty/Mcarthr,"Charming Spanish Style Home in Tree-Lined Albany Neighborhood. Enjoy Lovely Hardwood Floors, Eat-In Kitchen, Indoor Patio, and Quaint Backyard. Lots of Natural Light and Great Living Space. Coffee shops, Whole Foods, and Restaurants nearby. Great Opportunity!",Bungalow,Year built: 1926,Price/Sq Ft: $616,"$43,860","$2,585","$23,052","$20,808",,
North Hills,102 El Camino Real,Berkeley,CA,94705,4 bd,3 ba,"2,170 sq ft","9,300",Single Family Home,Bhg Mason Mcduffie R.E.,Fully remodeled and remastered classic Claremont home. First time on market in over 50 years. Attention to detail throughout with preservation of period characteristics. Must be seen to appreciate.,Traditional,Year built: 1920,"Price/Sq Ft: $1,104","$106,897","$3,703","$71,809","$35,088",,
East Shore,555 Pierce St Apt 525,Albany,CA,94706,2 bd,2 ba,933 sq ft,933,Condo/Townhome/Row Home/Co-Op,Path Real Estate,"Cozy updated 2 bedroom unit near markets, restaurants, trails, Farmers Market. Bart nearby and AC Transit stop only few steps away. Large master bedroom suite with lots of closet space. Balcony with park view and quiet setting. Albany Schools. Open House Sat 2/6, 1pm-4pm and Sun 2/14, 1pm-4pm.",Condo/townhome/row home/co-op,Price/Sq Ft: $428,22 days on realtor.com ® ,"$315,000","$5,859","$94,500","$220,500",,
San Gabriel Triangle,704 Spokane Ave,Albany,CA,94706,3 bd,2+ ba,"1,789 sq ft","1,789",Single Family Home,Red Oak Realty,"Spanish-Mediterranean with charming original details. 3 full bedrooms, den with separate entrance and 1/2 bath. Needs TLC. Hardwood floors, vaulted LR ceiling, formal DR, back patio. Newer dual-pane windows. Within 2 blocks of middle & high school. Close to BART, TJ’s, Solano Avenue. Open Sun 2-4PM",Mediterranean,Year built: 1935,Price/Sq Ft: $407,"$79,153","$3,024","$41,413","$37,740",,
North Oakland,2610 Woolsey St,Berkeley,CA,94705,4 bd,3 ba,"2,519 sq ft","2,519",Single Family Home,The Grubb Co. Inc.,"Gorgeous Craftsman on Rockridge/Elmwood border! The best of 2 cities! Close to shops & BART. 4+++BR/3 BA includes plus room off garage, 3rd floor attic plus study off master suite. Remodeled kitchen opens w/french doors to deck & garden. City line goes through property.",Craftsman,Year built: 1912,Price/Sq Ft: $655,"$396,494","$6,322","$335,296","$61,198",,
East Shore,555 Pierce St Apt 637,Albany,CA,94706,2 bd,2 ba,"1,113 sq ft","1,113",Condo/Townhome/Row Home/Co-Op,Intero Real Estate Services,"Rare 2bd condo with views of Bay/GG Bridge. 45K in upgrades, SS appliances, Modern EU tile/cabinets, hardwood, new baths, closet organizers. 24hr security, tennis court, large pool, gym, spa & more. Albany schools, near Ranch 99 mall, Asian cuisines, Farmers Market, SF transit, Bart, and Freeways.",Contemporary,Year built: 1977,Price/Sq Ft: $413,"$415,000","$7,102","$124,500","$290,500",,
South Berkeley,3211 King St,Berkeley,CA,94703,4 bd,2 ba,"2,414 sq ft","2,414",Single Family Home,Bhg Mason-Mcduffie Real Estate,"This Victorian from 1900 is welcoming and friendly, with a touch of the grand. The high ceilings and spacious rooms are light and airy. Big, beautiful upgraded kitchen. Finished lower level has huge family room, & plus rooms. Fruit trees populate the large back yard. Near BART, food and shopping.",Victorian,Year built: 1900,Price/Sq Ft: $435,"$730,326","$11,627","$219,098","$511,228",,
North Hills,2704 Webster St,Berkeley,CA,94705,4 bd,2 ba,"2,176 sq ft","2,176",Multi-Family Home,Bhg Mason-Mcduffie Real Estate,"Traditional Elmwood Duplex. Featuring original charm, wood floors, updated kitchen & bath, dining room, fireplace and more! Coveted location, steps to College Ave, shops, restaurants, movie theater, minutes to campus and SF. This gem has a Walk Score of 93 and Bike Score of 98.",Style: Duplex ,Year built: 1925,Price/Sq Ft: $551,"$846,260","$12,753","$253,878","$592,382",,
South Berkeley,1543 Prince St,Berkeley,CA,94703,5 bd,3+ ba,"2,028 sq ft","2,028",Condo/Townhome/Row Home/Co-Op,Climb Real Estate Group,"Large condo, great investment opportunity to live & rent out 4+ rooms. Close to Ashby BART, shops, and UC Berkeley. Tri-level property, functional floor plan, eat-in kitchen, patio, and laundry area. Lots of extra storage. Great views up top. Private backyard + large driveway. Will be gone #FAST!!",Style: Custom ,Year built: 2004,Price/Sq Ft: $491,"$521,891","$8,584","$156,567","$365,324",,
South Berkeley,1620 Carleton St,Berkeley,CA,94703,3 bd,2 ba,"1,690 sq ft","1,690",Single Family Home,Re/Max Accord,"Location! is the key. 1690 sqft 3BRM 2BTH Large family room & bonus finished Attic...Master Suite walkin closet &Deck Large level lot with Pond plenty of parking.Walkable to Berkeley Bowl and Ashby Bart,Parks & more Commuters Dream!",Contemporary,Year built: 1959,Price/Sq Ft: $506,"$197,514","$5,011","$55,741","$141,773",,
Thousand Oaks,1681 Portland Ave,Berkeley,CA,94707,2 bd,1 ba,"1,345 sq ft","2,115",Single Family Home,Marvin Gardens East Bay,"Built circa 1926, this graceful 2-bedroom home retains the lovely architectural features of that era. Located in one of the Bay Area’s most coveted neighborhoods, just blocks from excellent schools, community parks, and bustling Solano Avenue’s shops and eateries.",Mediterranean,Year built: 1926,Price/Sq Ft: $591,"$63,445","$2,539","$42,433","$21,012",,
South Berkeley,1914 Stuart St,Berkeley,CA,94703,7 bd,4 ba,"3,051 sq ft","3,051",Multi-Family Home,Signature Real Estate,"Nice building in a desirable neighborhood, only a few blocks away for UC Berkeley and BART. Three units consist of one unit with 3 beds and 2 baths and two units with 2 bedrooms and 1 bath. View outside only and do not disturb occupants. Offer subject to viewing interior.Townhouse style., Townhouse style units with bedrooms upstairs. Low maintenance yard.",Style: Triplex ,Year built: 1964,Price/Sq Ft: $410,"$602,181","$10,452","$180,654","$421,527",,
West Berkeley,62 Arden Rd,Berkeley,CA,94704,1 bd,1 ba,665 sq ft,665,Condo/Townhome/Row Home/Co-Op,Coldwell Banker Real Estate,"Breathtaking SFbay views! A stand-alone mid-century condo, with what feels likes walls of glass. Perched on Berkeley's lower Panoramic Hill with fantastic accessibility to the University, downtown shops, cafes and restaurants. Open design, private deck, yard & garage. Open Sunday! Breathtaking SFbay views! A stand-alone mid-century condo, with what feels likes walls of glass. Perched on Berkeley’s lower Panoramic Hill with fantastic accessibility to the University, downtown shops, cafes and restaurants. Open design, private deck, yard & garage. Open Sunday!",Contemporary,Year built: 1953,Price/Sq Ft: $720,"$449,524","$6,302","$134,857","$314,667",,
Berkeley Hills,1222 66th St,Berkeley,CA,94702,2 bd,1 ba,782 sq ft,782,Single Family Home,Realty One Group Bmc Assoc,"AMAZING BERKELEY OPPORTUNITY! Super-rare Baran Studio plans in process of approval to build 2 houses on lot & do lot split, waiting on city, no neighbor complaints. Need 2 demo existing house, but AMAZING $$$$ OPPORTUNITY"",Style: Fixer Handyman Special """,Year built: 1900,Price/Sq Ft: $765,"$28,764","$2,202","$19,788","$8,976",,,
Berkeley Hills,600 Cragmont Ave,Berkeley,CA,94708,3 bd,2 ba,"2,132 sq ft","2,132",Single Family Home,Village Associates Real Estate,"1930 built home nestled in the Berkeley Hills. Sweeping views of the Bay, San Francisco, Golden Gate & Mt. Tamalpais make this fixer home worth the effort. Close proximity to regional parks, the Gourmet Ghetto"," Solano, UC Berkeley and Bart make for convenient living.",Traditional,Year built: 1930,Price/Sq Ft: $408,"$116,658","$3,951","$68,111","$48,547",
North Hills,1427 Grizzly Peak Blvd,Berkeley,CA,94708,2 bd,1 ba,"1,010 sq ft","1,010",Single Family Home,Thornwall Properties Inc.,"This wonderful mid-century charmer boasts an open concept living and dining room looking out seven dramatic windows. Well maintained 2BR, 1 BA has hardwood floors, updated kitchen and bathroom, large closets and additional storage in basement. Wonderfully private backyard patio, and terraced yard.",Contemporary,Year built: 1953,Price/Sq Ft: $742,"$702,000","$10,304","$210,600","$491,400",,
West Berkeley,10 Chancellor Pl,Berkeley,CA,94705,"7,838 sq ft lot","7,838 sq ft lot","7,838 sq ft lot","7,838",Land,Advanced Financial Group,"FULLY APPROVED AND READY TO BUILD FOR APRIL. PANORAMIC VIEWS OF BAY/CITY/BRIDGES. APPROVED FOR CUSTOM MEDITERRANEAN HOME OF 3122 SF MAIN HOME + 558 SF SEPARATE GUEST SUITE + 651 SF GARAGE. GATED ACCESS. HOME EXISTED ON LOT BEFORE 1991 FIRE, UTILITIES IN STREET.",Land,29 days on realtor.com ® ,Status: Active ,"$594,273","$8,655","$178,282","$415,991",,
West Washington,1209 Santa Fe Ave,Berkeley,CA,94706,3 bd,3 bd,3 bd,3,Single Family Home,Valva Realty Company,"Freshly painted on the interior & exterior. New w/w carpets in 3 bedrooms & hardwood floors in the living/dining combo. Located near the Albany line, many fruit trees in the yard & new cement driveway. See Associated Docs for PAS requirements and WFHM offer submittal info.",Bungalow,Year built: 1951,Price/Sq Ft: $522,"$273,666","$5,442","$77,244","$196,422",,
