Neighborhood,Street,City,State,ZIP,Bedrooms,Bathrooms,sq_footage,Lot,housing_style,Brokerage,Description,property_type,Year,price_per_sqft,tax_valuation,Taxes,Land,Additions,,
West Berkeley,728 Talbot Ave,Albany,CA,94706,2 bd,2 bd,2 bd,2,Single Family Home,"Daniel Winkler & Assocs., Inc","Cutie pie! Terrific location, terrific schools, terrific home! Everything functions, kitchen needs updating but works! Very cozy home...functioning fireplace, Hardwood floor, new carpet in back bedroom, new paint. w/d hook ups in home. Come visit",Bungalow,Year built: 1935,Price/Sq Ft: $635,"$31,416","$1,802","$17,136","$14,280",,
Northside,1520 10th St,Berkeley,CA,94710,2 bd,2 bd,2 bd,2,Single Family Home,Coldwell Banker Bartels,"Opportunity knocks!! Use your imagination to transform this cozy 2 bedroom, one bath home with bonus room that is currently being used as a 3rd bedroom. Deep lot with workshop in back. Close to fourth street shopping and restaurants.",Cottage,Year built: 1920,Price/Sq Ft: $732,"$327,261","$4,969","$98,178","$229,083",,
North Hills,1767 Euclid Ave Apt 3,Berkeley,CA,94709,1 bd,1 bd,1 bd,1,Condo/Townhome/Row Home/Co-Op,Bhg Mason-Mcduffie Real Estate,"Charming and light North Berkeley condo. Features include, hardwood floors, french doors, eat in kitchen, washer/ dryer in unit, freshly painted interior, balcony space and more. Ideally located 1.5 blocks to campus.",Traditional,Year built: 1924,Price/Sq Ft: Price Unavailable,"$1,886,258","$26,865","$565,877","$1,320,381",,
North Hills,7126 Buckingham Blvd,Berkeley,CA,94705,"5,475 sq ft lot","5,475 sq ft lot","5,475 sq ft lot","5,475",Land,Bhg Mason Mcduffie Real Estate,Easy access to San Francisco and Walnut Creek. Water meter has been installed.,Land,Price/Sq Ft: Price Unavailable,35 days on realtor.com ® ,"$137,146","$2,778","$137,146",N/A,,
East Shore,555 Pierce St Apt 145,Albany,CA,94706,2 bd,2 bd,2 bd,2,Condo/Townhome/Row Home/Co-Op,Bhg Highland Partners,"Berkeley's premier address, close to Round Park, Claremont Spa & tennis. Claremont and Elmwood shops, local transportation, and BART. Three sunny bedrooms and 2BA, updated kitchen, family room opens to lovely private rear garden.",Colonial,Year built: 1926,Price/Sq Ft: $847,"$2,549,950","$34,428","$764,985","$1,784,965",,
North Hills,115 Parkside Dr,Berkeley,CA,94705,3 bd,3 bd,3 bd,3,Single Family Home,The Grubb Co. Inc.,Own a piece of Berkeley history in landmark-designated Greenwood Common. This mid-century gem maintains many original details with upgraded systems. Sub-Zero fridge. Detached office. Convenient entrances from street and greenbelt. Panoramic view from common. A/C.,Style: Custom ,Year built: 1952,Price/Sq Ft: $715,"$445,721","$7,190","$312,361","$133,360",,
Berkeley Hills,8 Greenwood Cmn,Berkeley,CA,94708,2 bd,2 bd,2 bd,2,Single Family Home,Bhg Mason-Mcduffie Real Estate,"



 Key Facts
 Style: Duplex
 Multi-family home
 Year built: 1934
 Price/Sq Ft: $324
 37 days on realtor.com ®
 Status: Pending


 Schools
 8Willard Middle School
 8Berkeley High School ",Style: Duplex ,Year built: 1934,Price/Sq Ft: $324,0,0,0,0,,
North Berkeley,1635 Walnut St,Berkeley,CA,94709,4 bd,4 bd,4 bd,4,Multi-Family Home,"Lapham Company, Inc.","Located just 3 minutes away from Ashby BART station. Convenient multi-family complex w/two separate 2 story duplexes with one unit on each floor. Each of the spacious 2 bedroom, 1 bath units include a comfortable living room area equipped w/granite counter tops, dual pane winds. Open Sat. 1:00-3:00, This 4-unit complex boasts 3,200 Sq.Ft of living space and features upgraded Kitchens, Bathrooms, Windows, Flooring in all units.",Style: Fourplex ,Year built: 1950,Price/Sq Ft: $309,"$637,867","$14,239","$191,360","$446,507",,
West Berkeley,2925 Stanton St,Berkeley,CA,94702,8 bd,8 bd,8 bd,8,Multi-Family Home,"Ehomesurf, Inc.","Vacant lot at downtown Berkeley close to Police Department and Berkeley High School. Minutes to BART, shops and restaurants. Land zoned for residential. Rough drawing for new construction of single family home from Architect is available upon request.",Land,38 days on realtor.com ® ,Status: Active ,"$111,474","$1,525","$111,474",N/A,,
Central Berkeley,1872 Allston Way,Berkeley,CA,94703,"3,700 sq ft lot","3,700 sq ft lot","3,700 sq ft lot","3,700",Land,Marvin Gardens East Bay,"San Pablo Park LEGAL DUPLEX currently being used as a 3 bedroom, 2 bathroom single residence. Minutes to Dining, Shops, Café’s, Parks, BART, Bay Bridge, Emeryville, Downtown / Uptown Oakland, San Francisco and UC Berkeley!",Single family home,Price/Sq Ft: $502,42 days on realtor.com ® ,"$183,170","$4,451","$55,568","$127,602",,
West Berkeley,2824 Wallace St,Berkeley,CA,94702,3 bd,3 bd,3 bd,3,Single Family Home,Bhg Mason Mcduffie Real Estate,"Must See Expansive Duplex on large Lot! Well kept property with great curb appeal. Each unit features 2 bedrooms 1 bath & laundry hookups. Long driveway with large back yard. Walking distance to shops, eateries, Amtrak, Google bus at North Berk Bart, 4th St shopping, and grab bus or walk to campus.",Style: Duplex ,Year built: 1918,Price/Sq Ft: $426,"$562,515","$10,003","$168,754","$393,761",,
West Berkeley,2015 8th St,Berkeley,CA,94710,4 bd,4 bd,4 bd,4,Multi-Family Home,Better Homes Realty/Mcarthr,".Real Estate plus Business opportunity. Currently being used as a Care facility. Has total of 12 beds ( 2 beds on basement level for employees) 4 baths, rec. area, dining room & laundry area. In prime Berkeley location.",Multi-family home,Price/Sq Ft: $373,43 days on realtor.com ® ,0,0,0,0,,
South Berkeley,2555 Fulton St,Berkeley,CA,94704,"3,890 sq ft","3,890 sq ft","3,890 sq ft","3,890",Multi-Family Home,Monument Realty,"Beautiful 2bd condo nestled in a serene view of Albany Hill, 24hrs security, huge courtyard with GGB, BB, SF bay view, tennis court, large pool, gym, spa & more. Zoned for prestigious Albany schools, near Ranch 99 mall, Asian cuisines, Farmers Market, Costco, freeways, SF transit, Bart, mins to UCB.",Contemporary,Year built: 1977,Price/Sq Ft: $358,"$303,953","$5,809","$91,186","$212,767",,
East Shore,555 Pierce St Apt 328,Albany,CA,94706,2 bd,2 bd,2 bd,2,Condo/Townhome/Row Home/Co-Op,Bhg Mason-Mcduffie Re,"Storybook Northbrae home on sunny corner lot. Light-filled, 2+BD/2BA, split level home lovingly maintained w/gleaming hardwood flrs & original details throughout. Large living room w/fireplace, formal dining, sweet back patio & attached garage. Close to Gourmet Ghetto, Solano Ave, BART & much more.",Craftsman,Year built: 1924,Price/Sq Ft: $677,"$644,405","$9,856","$193,321","$451,084",,
Northbrae,1938 Hopkins St,Berkeley,CA,94707,2 bd,2 bd,2 bd,2,Single Family Home,Northbrae Properties,0,0,0,0,0,0,0,0,,
West Berkeley,931 Channing Way,Berkeley,CA,94710,3 bd,1 ba,"3,500 sq ft lot","3,500",Single Family Home,Cap Real Estate Services,"



 Key Facts
 Style: Bungalow
 Single family home
 Year built: 1921
 Price/Sq Ft: Price Unavailable
 82 days on realtor.com ®
 Status: Pending


 Schools
 5Realm Charter High School ",Bungalow,Year built: 1921,Price/Sq Ft: Price Unavailable,"$33,864","$2,593","$16,116","$17,748",,
South Berkeley,3113 Harper St,Berkeley,CA,94703,4 bd,3 ba,"2,325 sq ft","2,325",Multi-Family Home,Edenhearth Fine Properties,"Open Sat1-4:30 & Sun 1-4:30 Beautiful turn-of-the-century Victorian-It's time to fall in love with this amazing home,location,opportunity for you. Minutes to Ashby BART,Berkeley Bowl.Live in one/rent other.Two homes in one!FIXER/Needs TLC to restore to its full glory.Walk score 88.Biker100 :0)",Style: Duplex ,Year built: 1903,Price/Sq Ft: $365,"$52,197","$4,036","$33,199","$18,998",,
Berkeley Hills,1370 Queens Rd,Berkeley,CA,94708,0.25 acres lot,0.25 acres lot,0.25 acres lot,0.25,Land,Red Oak Realty,"Huge potential to build a great home on this lot. Potential for spectacular water, and bridge views.",Land,92 days on realtor.com ® ,Status: Active ,0,0,0,0,,
Berkeley Hills,1360 Queens Rd,Berkeley,CA,94708,"8,449 sq ft lot","8,449 sq ft lot","8,449 sq ft lot","8,449",Land,Red Oak Realty,"Two separate beautiful lots- 1360 is has almost approved plans for a 5000+ house, 1370 for a 3600 sq ft house. 1370 (listed separately) is 650,000. All reports. When go look see the story poles and that will tell you a lot- great views from both once Eucalyptus are taken down.",Land,92 days on realtor.com ® ,Status: Active ,"$44,313","$3,200","$27,647","$16,666",,
South Berkeley,2930 California St,Berkeley,CA,94703,4 bd,4 bd,4 bd,4,Single Family Home,Bhg Mason-Mcduffie Real Estate,"A Jewel! Beautiful Craftsman that has tons of old world charm right in the heart of South Berkeley. Walkable to Berkeley Bowl, Ashby Bart Station, public transit, parks and a hosts of coffee shops and restaurants. A commuters dream!",Craftsman,Year built: 1914,Price/Sq Ft: Price Unavailable,"$212,816","$4,043","$63,860","$148,956",,
West Berkeley,1301 Blake St,Berkeley,CA,94702,2 bd,2 bd,2 bd,2,Single Family Home,My Housing Wizard,"1920's Berkeley Craftsman in awesome South Berkeley location with tons of potential. Front porch, hardwood floors, and original built-ins add to the charm of this quaint 2 bed, 1 bath home. Nice courtyard and 2 car detached garage-currently a 1 bath studio. Great walk score. Must see!",Craftsman,Year built: 1921,Price/Sq Ft: $736,"$52,352","$5,862","$35,490","$16,862",,
West Berkeley,2315 9th St,Berkeley,CA,94710,"2,429 sq ft","2,429 sq ft","2,429 sq ft","2,429",Multi-Family Home,Bhg Mason Mcduffie Tice Valley,"Golden Duplex in great Berkeley neighborhood. Excellent opportunity for owner-occupant. Seller's family has owned property since the 1940s. Large 2+ bdrm. units of approx. 1200 sq. ft. each. Huge 6,500 sq. ft. flat, fenced lot with large rear yard. Buyer responsible for Sewer Lateral Compliance.",Style: Duplex ,Year built: 1910,Price/Sq Ft: $360,"$79,522","$3,754","$44,063","$35,459",,
North Berkeley,1705 Jaynes St,Berkeley,CA,94703,2 bd,2 bd,2 bd,2,Single Family Home,Bhg Highland Partners,"Probate Court Confirmation 3/10/2016 at 2120 MLK, Berkeley at 9:30am. Location, location, location. Needs TLC. Bonus cottage in rear. In between Northbrae, North Berkeley BART and the Gourmet Ghetto. Make this home your own. Minimum overbid $830","000"".""",Style: Brown Shingle Fixer Handyman Special ,Year built: 1906,Price/Sq Ft: $394,"$75,684","$3,379","$39,984","$35,700",
West Berkeley,1449 Ordway St,Berkeley,CA,94702,3 bd,3 bd,3 bd,3,Single Family Home,Mjp Properties,"Charming Mediterranean tri-level home with a relaxed floor plan ideal for entertaining & everyday living. Abundant with potential, this home has 3 generous sized bedrooms, 1 full bath, spacious kitchen with breakfast nook, and a built-out lower level suitable for a media-entertainment family room.",Bungalow,Year built: 1937,Price/Sq Ft: $644,"$182,612","$4,252","$54,783","$127,829",,
West Berkeley,3225 Idaho St,Berkeley,CA,94702,2 bd,2 bd,2 bd,2,Single Family Home,Aspire Realty Services,"Opportunity for vision 2 bedroom 1.5 bathroom Single Story ready for new remodel. A spacious lot and Swimming Pool, RV Parking, potential expansion. A commuters dream located close to Ashby Bart, Emeryville, Oakland Boarder, UC Berkeley, San Francisco. Highways 580, 80 and 24. A walk score of 86.",Bungalow,Year built: 1913,Price/Sq Ft: $549,"$130,537","$4,170","$51,815","$78,722",,
Berkeley Hills,210 Fairlawn Dr,Berkeley,CA,94708,3 bd,3 bd,3 bd,3,Single Family Home,Sotheby's International Realty,"North Berkeley View Retreat. Light filled 2 story home or two units; upstairs Living Room with a “Clear Story” ceiling, fireplace, deck, bay views, and 2 bed/1bath with a small bonus room. Downstairs has two large rooms, kitchen, full bath. Finished basement and separate studio/shop.",Contemporary,Year built: 1947,Price/Sq Ft: $399,"$1,655,769","$25,332","$426,237","$1,229,532",,
Berkeley Hills,1433 Spruce St,Berkeley,CA,94709,"4,703 sq ft","4,703 sq ft","4,703 sq ft","4,703",Multi-Family Home,"Paragon Coml. Brokerage, Inc","8 large apartments in an excellent North Berkeley location. The property consists of 2 buildings on one lot. 1433 Spruce Street consists of 3 one bedrooms and 2 studio apartments. 1455 Spruce Street consists of 2 two bedrooms and 1 one bedroom apartment. The units have spacious floor plans with linoleum, hardwood, and carpet floors. Some of the units have decks and patio areas. There is a basement area which the tenant in Unit #1 uses as his workshop . The two buildings share a large garden area. This property has beautiful units with excellent rental upside.This property is fantastically located in the very popular North Berkeley neighborhood, a short walk from Northside of Campus the University of California, Berkeley.",Multi-family home,Price/Sq Ft: $477,147 days on realtor.com ® ,"$812,386","$13,389","$305,994","$506,392",,
Berkeley Hills,1068 Cragmont Ave,Berkeley,CA,94708,4 bd,4 bd,4 bd,4,Single Family Home,"Daniel Winkler & Assocs., Inc.","Incredible renovation of a classic Berkeley Hills home! Huge spaces, perfect for entertaining. Luxury living, elegant master w/spa like bath, covered terraces that harken to a European castle. The open gourmet kitchen with custom cabinets is fabulous! Lux finishes everywhere! Great, huge yard!",Tudor,Year built: 1959,Price/Sq Ft: $493,0,0,0,0,,
North Hills,3014 College Ave,Berkeley,CA,94705,4 bd,"2,448 sq ft","4,800 sq ft lot","4,800",Multi-Family Home,Fireside Realty,"Elmwood neighborhood, 1 block from shops and restaurants. Charm and Cozy best describe this adorable property and it is in one of the best locations in the bay area. Could be added to for increased income. Lovely home. Floors in unit 1 are contracted for refinish. Fresh paint abounds.",Multi-family home,Price/Sq Ft: $592,157 days on realtor.com ® ,"$241,682","$5,597","$196,783","$44,899",,
NOMAR,945 Key Route Blvd,Albany,CA,94706,3 bd,3 ba,"2,300 sq ft","2,300",Single Family Home,Dream House Investments,"Back on the market! List price approved!! Excellent opportunity to own a home with tons of potential, sold as-is, list price is NOT apprvd- no showings, DND pls see remrks",Style: A Frame ,Year built: 1950,Price/Sq Ft: $331,"$1,046,067","$15,180","$313,820","$732,247",,
Central Berkeley,2427 McKinley Ave,Berkeley,CA,94703,"2,911 sq ft","5,227 sq ft lot","5,227 sq ft lot","5,227",Multi-Family Home,Re/Max Pioneer,"Great income opportunity in prime central Berkeley location. Nice, mid-century modern style architecture, 6 units: 4 1 bedroom, 2 studios. Large garden in back. Fully occupied. Seldom has vacancies.A 2ND FLOOR ONE BEDROOM UNIT WILL BE VACANT IN 30 DAYS IF YOU HAVE A BUYER WHO WANTS TO OCCUPY",Traditional,Year built: 1962,Price/Sq Ft: $446,"$1,000,000","$15,357","$250,000","$750,000",,
North Hills,1625 Tunnel Rd,Oakland,CA,94705,"8,464 sq ft lot","8,464 sq ft lot","8,464 sq ft lot","8,464",Land,Coldwell Banker Real Estate,"



 Key Facts
 Land
 Price/Sq Ft: Price Unavailable
 198 days on realtor.com ®
 Status: Active


 Schools
 7Kaiser Elementary School
 5Claremont Middle School
 7Oakland Technical High School ",Land,198 days on realtor.com ® ,Status: Active ,"$658,412","$9,493","$197,523","$460,889",,
Thousand Oaks,565 The Alameda,Berkeley,CA,94707,2 bd,2 bd,2 bd,2,Single Family Home,Bhg Mason-Mcduffie Real Estate,"Adorable updated Cape Cod Gem located in the desirable Thousand Oaks neighborhood. Attractive landscaped front yard featuring a beautiful mature Birch tree and lovely brick walkway. Light filled open floor plan, hardwood floors, wood burning fireplace, separate dining area, and an updated kitchen and bath. Peek-a-boo views of the Bay. Walk into a private rear yard featuring a brick patio area. Large lower basement/work shop/storage area, separate laundry area with washer & dryer, and a detached garage. Conveniently located near Solano ave shopping, Berkeley's Gourmet Ghetto and Thousand Oaks elementary school.",Cape Cod,Year built: 1918,Price/Sq Ft: $781,"$274,098","$7,444","$218,934","$55,164",,
North Berkeley,1716 Rose St,Berkeley,CA,94703,6 bd,6 bd,6 bd,6,Multi-Family Home,Sperry Van Ness,"Classic Victorian plus well kept modern duplex in the popular Northbrae District. Victorian and 3bdrm/2bath upper unit are both owner occupied and connected by main level deck. Lower level 3bdrm/2bath unit is tenant occupied. Ideal for home/income or investment., Victorian has a full and partially developed basement on lower level with separate entrance and bath. Good work or art studio space.",Style: Triplex ,Year built: 1895,Price/Sq Ft: $382,"$357,310","$5,784","$357,310",N/A,,
North Hills,1034 Amito Ave,Oakland,CA,94705,"6,713 sq ft lot","6,713 sq ft lot","6,713 sq ft lot","6,713",Land,Coldwell Banker Residential,One of the last lots available in the burn area of the Oakland/Berkeley Hills. Great bay views and easy flat area for yard space. One of the last lots available in the burn area of the Oakland/Berkeley Hills. Great bay views and easy flat area for yard space.,Land,Price/Sq Ft: Price Unavailable,311 days on realtor.com ® ,0,0,0,0,,
South Berkeley,1841 Parker St,Berkeley,CA,94703,0 bd,0 bd,0 bd,0,Single Family Home,Diablo View Realtors,"Gorgeous 1912 Building. Currently a church. Zoning allows SFR - City of Berkeley approval required for a change of use (5 to 7 months). Walking distance to BART,Alta Bates Hospital, UC Berkeley. The roof, roof framing and rear walls need repairs (some repairs would be part of the SFR conversion).",Traditional,Year built: 1912,Price/Sq Ft: $265,"$1,086,856","$16,581","$176,115","$910,741",,
North Hills,1090 Siler Pl,Berkeley,CA,94705,3 bd,3 bd,3 bd,3,Single Family Home,Alpha West Properties,As is fixer. Buyer and buyer's agent to verify.,Single family home,Price/Sq Ft: $307,351 days on realtor.com ® ,0,0,0,0,,
South Berkeley,Berkeley,Berkeley,CA,94704,3 bd,3 bd,3 bd,3,Condo/Townhome/Row Home/Co-Op,Prime Realty,Great Investment opportunity!!!! Currently renting to UC Berkeley student for $3900 per month!!!,Contemporary,Year built: 2008,Price/Sq Ft: $554,0,0,0,0,,
West Berkeley,Berkeley,Berkeley,CA,94706,"7,000 sq ft","7,000 sq ft","7,000 sq ft","7,000",Multi-Family Home,Century 21 Alliance Fine Homes And Estates,"Mixed use property in prime Berkeley location. Open floor plan, large bedrm, hardwood flr. Retail space can be use as a restaurant per city zoning. Existing square footage not warranted by the broker or seller.",Multi-family home,Price/Sq Ft: $250,581 days on realtor.com ® ,0,0,0,0,,
North Hills,3014 College Ave,Berkeley,CA,94705,4 bd,"2,448 sq ft","4,800 sq ft lot","4,800",Multi-Family Home,Fireside Realty,"Elmwood neighborhood, 1 block from shops and restaurants. Charm and Cozy best describe this adorable property and it is in one of the best locations in the bay area. Could be added to for increased income. Lovely home. Floors in unit 1 are contracted for refinish. Fresh paint abounds.",Multi-family home,Price/Sq Ft: $592,157 days on realtor.com ® ,"$241,682","$5,597","$196,783","$44,899",,
NOMAR,945 Key Route Blvd,Albany,CA,94706,3 bd,3 ba,"2,300 sq ft","2,300",Single Family Home,Dream House Investments,"Back on the market! List price approved!! Excellent opportunity to own a home with tons of potential, sold as-is, list price is NOT apprvd- no showings, DND pls see remrks",Style: A Frame ,Year built: 1950,Price/Sq Ft: $331,"$1,046,067","$15,180","$313,820","$732,247",,
Central Berkeley,2427 McKinley Ave,Berkeley,CA,94703,"2,911 sq ft","5,227 sq ft lot","5,227 sq ft lot","5,227",Multi-Family Home,Re/Max Pioneer,"Great income opportunity in prime central Berkeley location. Nice, mid-century modern style architecture, 6 units: 4 1 bedroom, 2 studios. Large garden in back. Fully occupied. Seldom has vacancies.A 2ND FLOOR ONE BEDROOM UNIT WILL BE VACANT IN 30 DAYS IF YOU HAVE A BUYER WHO WANTS TO OCCUPY",Traditional,Year built: 1962,Price/Sq Ft: $446,"$1,000,000","$15,357","$250,000","$750,000",,
North Hills,1625 Tunnel Rd,Oakland,CA,94705,"8,464 sq ft lot","8,464 sq ft lot","8,464 sq ft lot","8,464",Land,Coldwell Banker Real Estate,"



 Key Facts
 Land
 Price/Sq Ft: Price Unavailable
 198 days on realtor.com ®
 Status: Active


 Schools
 7Kaiser Elementary School
 5Claremont Middle School
 7Oakland Technical High School ",Land,198 days on realtor.com ® ,Status: Active ,"$658,412","$9,493","$197,523","$460,889",,
Thousand Oaks,565 The Alameda,Berkeley,CA,94707,2 bd,2 bd,2 bd,2,Single Family Home,Bhg Mason-Mcduffie Real Estate,"Adorable updated Cape Cod Gem located in the desirable Thousand Oaks neighborhood. Attractive landscaped front yard featuring a beautiful mature Birch tree and lovely brick walkway. Light filled open floor plan, hardwood floors, wood burning fireplace, separate dining area, and an updated kitchen and bath. Peek-a-boo views of the Bay. Walk into a private rear yard featuring a brick patio area. Large lower basement/work shop/storage area, separate laundry area with washer & dryer, and a detached garage. Conveniently located near Solano ave shopping, Berkeley's Gourmet Ghetto and Thousand Oaks elementary school.",Cape Cod,Year built: 1918,Price/Sq Ft: $781,"$274,098","$7,444","$218,934","$55,164",,
North Berkeley,1716 Rose St,Berkeley,CA,94703,6 bd,6 bd,6 bd,6,Multi-Family Home,Sperry Van Ness,"Classic Victorian plus well kept modern duplex in the popular Northbrae District. Victorian and 3bdrm/2bath upper unit are both owner occupied and connected by main level deck. Lower level 3bdrm/2bath unit is tenant occupied. Ideal for home/income or investment., Victorian has a full and partially developed basement on lower level with separate entrance and bath. Good work or art studio space.",Style: Triplex ,Year built: 1895,Price/Sq Ft: $382,"$357,310","$5,784","$357,310",N/A,,
North Hills,1034 Amito Ave,Oakland,CA,94705,"6,713 sq ft lot","6,713 sq ft lot","6,713 sq ft lot","6,713",Land,Coldwell Banker Residential,One of the last lots available in the burn area of the Oakland/Berkeley Hills. Great bay views and easy flat area for yard space. One of the last lots available in the burn area of the Oakland/Berkeley Hills. Great bay views and easy flat area for yard space.,Land,Price/Sq Ft: Price Unavailable,311 days on realtor.com ® ,0,0,0,0,,
South Berkeley,1841 Parker St,Berkeley,CA,94703,0 bd,0 bd,0 bd,0,Single Family Home,Diablo View Realtors,"Gorgeous 1912 Building. Currently a church. Zoning allows SFR - City of Berkeley approval required for a change of use (5 to 7 months). Walking distance to BART,Alta Bates Hospital, UC Berkeley. The roof, roof framing and rear walls need repairs (some repairs would be part of the SFR conversion).",Traditional,Year built: 1912,Price/Sq Ft: $265,"$1,086,856","$16,581","$176,115","$910,741",,
North Hills,1090 Siler Pl,Berkeley,CA,94705,3 bd,3 bd,3 bd,3,Single Family Home,Alpha West Properties,As is fixer. Buyer and buyer's agent to verify.,Single family home,Price/Sq Ft: $307,351 days on realtor.com ® ,0,0,0,0,,
South Berkeley,Berkeley,Berkeley,CA,94704,3 bd,3 bd,3 bd,3,Condo/Townhome/Row Home/Co-Op,Prime Realty,Great Investment opportunity!!!! Currently renting to UC Berkeley student for $3900 per month!!!,Contemporary,Year built: 2008,Price/Sq Ft: $554,0,0,0,0,,
West Berkeley,Berkeley,Berkeley,CA,94706,"7,000 sq ft","7,000 sq ft","7,000 sq ft","7,000",Multi-Family Home,Century 21 Alliance Fine Homes And Estates,"Mixed use property in prime Berkeley location. Open floor plan, large bedrm, hardwood flr. Retail space can be use as a restaurant per city zoning. Existing square footage not warranted by the broker or seller.",Multi-family home,Price/Sq Ft: $250,581 days on realtor.com ® ,0,0,0,0,,
